date,open,high,low,close,volume,average,barCount
2012-04-19,312.32,313.12,309.36,311.68,6106.0,311.584,15182
2012-04-20,316.08,316.88,312.96,315.12,6240.0,315.512,15349
2012-04-23,309.84,312.4,308.4,312.24,6555.0,310.44,16599
2012-04-24,314.96,315.12,312.08,313.36,4982.0,313.876,12683
2012-04-25,314.64,316.72,312.32,315.28,9656.0,314.216,24113
2012-04-26,315.52,317.76,315.04,316.24,6558.0,316.528,16701
2012-04-27,316.4,318.0,315.04,316.96,4021.0,316.412,12887
2012-04-30,315.44,318.48,314.96,317.44,5891.0,316.384,17090
2012-05-01,317.04,322.32,317.04,321.2,7419.0,320.308,20179
2012-05-02,320.08,320.48,317.68,319.12,6062.0,319.092,17845
2012-05-03,315.44,315.52,310.0,310.64,10951.0,311.816,23532
2012-05-04,302.72,303.92,295.36,298.32,23376.0,298.484,51734
2012-05-07,294.88,297.28,292.0,296.4,12847.0,294.616,35268
2012-05-08,293.76,295.2,289.2,294.96,13095.0,291.988,33059
2012-05-09,289.92,293.28,288.24,292.16,13263.0,291.016,34735
2012-05-10,294.88,295.76,292.4,292.88,5708.0,293.928,15031
2012-05-11,290.16,294.16,289.92,290.08,5411.0,291.624,14542
2012-05-14,285.68,287.84,284.24,284.88,5947.0,285.776,17849
2012-05-15,286.4,287.76,281.76,282.24,7452.0,284.856,20837
2012-05-16,281.52,285.12,279.52,280.4,12792.0,281.864,31853
2012-05-17,283.04,283.6,278.88,280.32,6635.0,281.3,19322
2012-05-18,279.12,280.32,275.44,275.44,8360.0,277.904,23287
2012-05-21,277.44,281.52,276.8,281.2,6608.0,279.168,17140
2012-05-22,279.28,280.0,275.12,275.84,6331.0,277.724,16851
2012-05-23,275.44,275.68,269.28,272.72,10895.0,272.4,28144
2012-05-24,274.32,276.0,272.0,274.08,7855.0,274.168,20351
2012-05-25,273.68,274.96,273.28,273.76,3515.0,274.164,8604
2012-05-29,276.16,278.08,272.16,273.84,7065.0,275.08,17060
2012-05-30,268.16,268.32,263.44,264.16,8736.0,265.164,21973
2012-05-31,264.32,264.72,258.96,260.88,13259.0,261.72,28619
2012-06-01,253.6,254.96,248.24,251.44,15822.0,251.74,34131
2012-06-04,250.8,254.48,249.84,254.08,14132.0,252.032,32197
2012-06-05,252.88,254.64,252.48,254.08,8808.0,253.716,16544
2012-06-06,256.72,260.08,255.6,257.12,12529.0,257.992,31373
2012-06-07,262.16,262.4,252.88,253.76,9567.0,256.944,25032
2012-06-08,249.52,255.2,249.04,254.4,9649.0,251.7,22772
2012-06-11,255.2,255.2,245.36,245.76,11388.0,250.22,28934
2012-06-12,250.56,252.32,248.96,251.28,7819.0,250.7,21986
2012-06-13,248.32,253.2,247.68,248.8,8592.0,250.256,20962
2012-06-14,249.52,254.4,248.32,253.84,6000.0,251.748,17081
2012-06-15,253.12,254.32,251.6,253.04,5696.0,253.268,12340
2012-06-18,248.16,252.88,247.44,250.56,6441.0,250.244,18566
2012-06-19,253.92,254.48,251.92,253.44,8832.0,253.56,21024
2012-06-20,252.4,252.64,242.88,243.92,26835.0,246.616,55438
2012-06-21,242.4,243.2,234.48,235.68,21514.0,238.264,46458
